gene	linb	nSNP
ENSG00000112679_DUSP22	0.5041200231327303	8
ENSG00000137265_IRF4	0.8779454487155205	1
ENSG00000112685_EXOC2	0.14181806720652734	7
ENSG00000188996_HUS1B	0.19358887331821895	2
ENSG00000164379_FOXQ1	0.45999343638811785	3
ENSG00000137273_FOXF2	0.9570512550129797	2
ENSG00000112699_GMDS	0.5800135917718379	2
ENSG00000145949_MYLK4	0.23937303493535356	9
ENSG00000124535_WRNIP1	0.3029042790052061	2
ENSG00000021355_SERPINB1	0.5911661036096001	4
ENSG00000170542_SERPINB9	0.7348491717000398	4
ENSG00000124570_SERPINB6	0.5047167142554918	10
ENSG00000124588_NQO2	0.6355510934581355	5
ENSG00000137275_RIPK1	2.0	7
ENSG00000137274_BPHL	2.0	15
ENSG00000137267_TUBB2A	0.7601862124047568	5
ENSG00000137285_TUBB2B	0.30567785525937186	2
ENSG00000180822_PSMG4	0.7198826975918104	11
ENSG00000137266_SLC22A23	0.904156221778696	7
ENSG00000168994_PXDC1	0.441769651408791	6
ENSG00000112739_PRPF4B	0.6722391045184652	4
ENSG00000145975_FAM217A	0.9397217644863073	12
ENSG00000185689_C6orf201	0.34562597696997543	1
ENSG00000198721_ECI2	0.1034299833566239	14
ENSG00000153046_CDYL	0.4616384775032705	3
ENSG00000124787_RPP40	0.2734245885788247	3
ENSG00000219607_PPP1R3G	0.6789968586707056	3
ENSG00000214113_LYRM4	0.37243695144479516	3
ENSG00000145982_FARS2	0.4140053936204471	6
ENSG00000124785_NRN1	0.6489567367917797	2
ENSG00000124491_F13A1	0.10776889816910518	9
ENSG00000112799_LY86	0.8704993521355824	3
ENSG00000124782_RREB1	0.6717888475771732	3
ENSG00000124783_SSR1	0.030906101202729408	3
ENSG00000164304_CAGE1	0.7253529043119529	12
ENSG00000124784_RIOK1	0.7282102553617261	12
ENSG00000096696_DSP	0.6555003671218564	19
ENSG00000168566_SNRNP48	0.5868165805090553	7
ENSG00000239264_TXNDC5	0.47817651418629437	9
ENSG00000259040_BLOC1S5-TXNDC5	0.42976358079936383	6
ENSG00000188428_BLOC1S5	0.6490263568598897	3
ENSG00000265818_EEF1E1-BLOC1S5	0.020714229509311788	5
ENSG00000124802_EEF1E1	0.12219673144278898	4
ENSG00000124786_SLC35B3	0.0683206785890843	8
ENSG00000137203_TFAP2A	0.5586472257723	2
ENSG00000111846_GCNT2	0.040314748685500224	12
ENSG00000137434_C6orf52	0.5129381947577195	6
ENSG00000111845_PAK1IP1	0.31537623599128195	1
ENSG00000111843_TMEM14C	0.15454165895374183	3
ENSG00000137210_TMEM14B	0.3642412967849489	7
ENSG00000111837_MAK	0.6163644242477992	8
ENSG00000124827_GCM2	0.5344179650394125	3
ENSG00000153157_SYCP2L	0.5429938152703954	8
ENSG00000197977_ELOVL2	0.7578820503266065	4
ENSG00000224531_SMIM13	0.6934140732799716	2
ENSG00000244476_ERVFRD-1	0.21839538716083207	8
ENSG00000111859_NEDD9	0.3571777645309431	6
ENSG00000111863_ADTRP	0.6954755886600635	6
ENSG00000095951_HIVEP1	0.27742639794566315	5
ENSG00000078401_EDN1	0.30163926180191847	3
ENSG00000112137_PHACTR1	0.5910798506477851	8
ENSG00000145979_TBC1D7	0.6899568191827283	3
ENSG00000145990_GFOD1	0.3616443449214769	1
ENSG00000124523_SIRT5	0.6992313424919234	11
ENSG00000225921_NOL7	0.6437823651181193	3
ENSG00000050393_MCUR1	0.5334372593835703	4
